nombre campaña,fecha inicio,fecha fin,inversión,retorno inversión,tipo,audiencia target,canal,ratio conversión,facturación,duración días,categoría duración,beneficio neto,campaña exitosa,categoría inversión,categoría beneficio
Public-key multi-tasking throughput,2023-04-01,2024-02-23,"8.082,30","0,35",email,B2B,organic,"0,40","709.593,48",328.0,media,"701.511,18",Sí,bajo,alto
De-engineered analyzing task-force,2023-02-15,2024-04-22,"17.712,98","0,74",email,B2C,promotion,"0,66","516.609,10",432.0,media,"498.896,12",Sí,bajo,medio
Balanced solution-oriented Local Area Network,2022-12-20,2023-10-11,"84.643,10","0,37",podcast,B2B,paid,"0,28","458.227,42",295.0,media,"373.584,32",Sí,alto,medio
Distributed real-time methodology,2022-09-26,2023-09-27,"14.589,75","0,47",webinar,B2B,organic,"0,19","89.958,73",366.0,media,"75.368,98",Sí,bajo,bajo
Front-line executive infrastructure,2023-07-07,2024-05-15,"39.291,90","0,30",social media,B2B,promotion,"0,81","47.511,35",313.0,media,"8.219,45",Sí,medio,bajo
Upgradable transitional data-warehouse,2023-06-29,2023-12-13,"75.569,28","0,59",social media,B2C,referral,"0,67","558.302,11",167.0,corta,"482.732,83",Sí,alto,medio
Innovative context-sensitive framework,2023-03-01,2024-02-23,"28.964,45","0,59",email,B2C,referral,"0,17","172.882,59",359.0,media,"143.918,14",Sí,bajo,bajo
User-friendly client-driven service-desk,2023-01-06,2023-12-11,"36.800,58","0,40",webinar,B2C,promotion,"0,52","206.241,46",339.0,media,"169.440,88",Sí,medio,bajo
Proactive neutral methodology,2022-09-06,2024-01-11,"40.493,88","0,16",webinar,B2C,organic,"0,47","734.755,76",492.0,larga,"694.261,88",Sí,medio,alto
Intuitive responsive support,2022-11-25,2024-04-04,"1.816,22","0,81",social media,B2C,referral,"0,85","563.280,30",496.0,larga,"561.464,08",Sí,bajo,medio
Multi-lateral dedicated workforce,2023-06-15,2024-06-15,"94.084,21","0,58",podcast,B2B,referral,"0,23","406.522,77",366.0,media,"312.438,56",Sí,alto,bajo
Cross-platform demand-driven encoding,2023-07-21,2023-11-04,"64.041,37","0,16",social media,B2B,promotion,"0,55","174.462,47",106.0,corta,"110.421,10",Sí,alto,bajo
Networked even-keeled toolset,2023-03-16,2023-09-05,"49.375,81","0,58",social media,B2B,organic,"0,95","680.416,90",173.0,corta,"631.041,09",Sí,medio,alto
Optional actuating standardization,2023-07-04,2024-05-06,"14.810,62","0,94",webinar,B2B,referral,"0,45","477.528,27",307.0,media,"462.717,65",Sí,bajo,medio
Innovative web-enabled function,2022-11-05,2023-09-05,"36.848,30","0,92",webinar,B2C,referral,"0,10","4.190,95",304.0,media,"-32.657,35",No,medio,bajo
Configurable methodical service-desk,2023-03-23,2023-11-07,"21.510,43","0,23",email,B2B,referral,"0,92","23.176,85",229.0,corta,"1.666,42",Sí,bajo,bajo
Cross-group empowering attitude,2022-09-14,2024-01-25,"99.520,93","0,52",podcast,B2C,paid,"0,65","386.133,95",498.0,larga,"286.613,02",Sí,alto,bajo
Intuitive didactic installation,2023-06-24,2024-03-27,"19.213,46","0,17",email,B2B,organic,"0,96","925.274,53",277.0,media,"906.061,07",Sí,bajo,alto
Fundamental dedicated encryption,2023-07-16,2023-08-17,"17.573,23","0,38",email,B2B,promotion,"0,79","460.559,74",32.0,corta,"442.986,51",Sí,bajo,medio
De-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,"25.396,40","0,45",email,B2C,promotion,"0,10","292.885,55",612.0,larga,"267.489,15",Sí,bajo,bajo
Managed upward-trending website,2023-02-07,2024-02-07,"34.644,22","0,20",podcast,B2B,referral,"0,72","478.980,33",365.0,media,"444.336,11",Sí,bajo,medio
Self-enabling human-resource infrastructure,2023-04-20,2024-01-09,"60.274,59","0,69",webinar,B2B,organic,"0,91","974.038,96",264.0,corta,"913.764,37",Sí,alto,alto
Cross-platform 24/7 archive,2023-01-16,2024-07-15,"79.680,62","0,90",email,B2B,promotion,"0,96","435.524,36",546.0,larga,"355.843,74",Sí,alto,medio
Future-proofed local forecast,2023-08-01,2023-08-11,"46.775,63","0,67",webinar,B2B,referral,"0,75","814.672,28",10.0,corta,"767.896,65",Sí,medio,alto
Horizontal hybrid instruction set,2022-08-26,2024-07-24,"48.366,50","0,21",social media,B2B,promotion,"0,87","41.004,95",698.0,larga,"-7.361,55",No,medio,bajo
Inverse contextually-based neural-net,2023-06-26,2024-01-28,"84.973,40","0,16",podcast,B2C,organic,"0,16","390.736,64",216.0,corta,"305.763,24",Sí,alto,bajo
Polarized hybrid system engine,2023-02-15,2023-11-17,"37.344,70","0,98",email,B2C,organic,"0,43","463.541,48",275.0,media,"426.196,78",Sí,medio,medio
Managed analyzing service-desk,2023-07-05,2023-10-09,"14.391,98","0,23",email,B2C,promotion,"0,83","456.537,40",96.0,corta,"442.145,42",Sí,bajo,medio
Seamless clear-thinking product,2022-11-18,2023-10-05,"99.838,63","0,63",email,B2B,organic,"0,18","14.073,59",321.0,media,"-85.765,04",No,alto,bajo
Networked local adapter,2022-10-17,2024-07-03,"29.076,12","0,61",social media,B2B,referral,"0,10","948.309,55",625.0,larga,"919.233,43",Sí,bajo,alto
Open-architected neutral open system,2023-04-19,2023-09-20,"87.963,28","0,69",podcast,B2B,promotion,"0,57","993.906,77",154.0,corta,"905.943,49",Sí,alto,alto
Secured optimal website,2023-05-25,2023-12-12,"53.935,80","0,44",social media,B2C,paid,"0,40","958.654,12",201.0,corta,"904.718,32",Sí,medio,alto
Seamless zero-defect portal,2022-08-12,2024-07-19,"71.277,10","0,21",email,B2B,paid,"0,56","932.824,61",707.0,larga,"861.547,51",Sí,alto,alto
Configurable eco-centric capability,2022-10-02,2024-03-09,"15.968,20","0,53",social media,B2C,paid,"0,15","430.007,30",524.0,larga,"414.039,10",Sí,bajo,medio
Customizable directional paradigm,2023-01-20,2023-08-16,"54.468,41","0,70",social media,B2C,paid,"0,70","924.154,29",208.0,corta,"869.685,88",Sí,medio,alto
Cross-platform holistic encryption,2023-07-27,2024-02-15,"29.393,78","0,34",podcast,B2B,promotion,"0,80","72.323,84",203.0,corta,"42.930,06",Sí,bajo,bajo
Vision-oriented encompassing system engine,2022-11-24,2024-03-22,"9.147,79","0,90",email,B2B,referral,"0,28","42.048,95",484.0,larga,"32.901,16",Sí,bajo,bajo
Ergonomic next generation throughput,2022-12-16,2024-03-25,"68.801,22","0,60",social media,B2B,organic,"0,65","482.216,95",465.0,larga,"413.415,73",Sí,alto,medio
Vision-oriented 4thgeneration conglomeration,2023-01-18,2024-04-22,"1.309,17","0,91",podcast,B2C,organic,"0,27","273.231,88",460.0,larga,"271.922,71",Sí,bajo,bajo
Ameliorated secondary data-warehouse,2023-04-29,2023-08-24,"27.168,60","0,74",social media,B2B,organic,"0,10","704.768,10",117.0,corta,"677.599,50",Sí,bajo,alto
Programmable executive workforce,2022-11-22,2024-07-01,"39.682,90","0,95",webinar,B2B,paid,"0,70","116.505,36",587.0,larga,"76.822,46",Sí,medio,bajo
Cross-group user-facing application,2023-02-27,2024-01-06,"89.227,70","0,90",podcast,B2C,promotion,"0,00","617.379,96",313.0,media,"528.152,26",Sí,alto,medio
